filename,year,block,route_key,field4,field5,frame_id,name_tail,width,height,bands,dtype,pixel_size_x,pixel_size_y,crs_epsg,origin_x,origin_y,min_x,min_y,max_x,max_y,area_m2
O2021_82_11_1_0023_00003029.tif,2021,82,82-11,1,0023,00003029,,11960,7400,3,uint8,0.1,-0.1,25832,460909.0,6257602.0,460909.0,6256862.0,462105.0,6257602.0,885040.0
O2021_82_11_1_0023_00003031.tif,2021,82,82-11,1,0023,00003031,,11840,7510,3,uint8,0.1,-0.1,25832,460915.0,6258296.0,460915.0,6257545.0,462099.0,6258296.0,889184.0
O2021_82_11_1_0023_00003032.tif,2021,82,82-11,1,0023,00003032,,11870,7450,3,uint8,0.1,-0.1,25832,460916.0,6258641.0,460916.0,6257896.0,462103.0,6258641.0,884315.0
O2021_82_11_1_0024_00002864.tif,2021,82,82-11,1,0024,00002864,,11820,7510,3,uint8,0.1,-0.1,25832,461725.0,6258952.0,461725.0,6258201.0,462907.0,6258952.0,887682.0
O2021_82_11_1_0024_00002866.tif,2021,82,82-11,1,0024,00002866,,11820,7580,3,uint8,0.1,-0.1,25832,461728.0,6258265.0,461728.0,6257507.0,462910.0,6258265.0,895956.0
O2021_82_11_1_0024_00002868.tif,2021,82,82-11,1,0024,00002868,,11900,7470,3,uint8,0.1,-0.1,25832,461723.0,6257571.0,461723.0,6256824.0,462913.0,6257571.0,888930.0
O2021_82_11_1_0025_00003593.tif,2021,82,82-11,1,0025,00003593,,11780,4480,3,uint8,0.1,-0.1,25832,462517.0,6257041.0,462517.0,6256593.0,463695.0,6257041.0,527744.0
O2021_82_11_1_0025_00003594.tif,2021,82,82-11,1,0025,00003594,,11800,4530,3,uint8,0.1,-0.1,25832,462515.0,6257390.0,462515.0,6256937.0,463695.0,6257390.0,534540.0
O2021_82_11_1_0025_00003595.tif,2021,82,82-11,1,0025,00003595,,11780,4440,3,uint8,0.1,-0.1,25832,462519.0,6257732.0,462519.0,6257288.0,463697.0,6257732.0,523032.0
O2021_82_11_1_0025_00003596.tif,2021,82,82-11,1,0025,00003596,,11780,4460,3,uint8,0.1,-0.1,25832,462519.0,6258077.0,462519.0,6257631.0,463697.0,6258077.0,525388.0
O2021_82_11_1_0025_00003597.tif,2021,82,82-11,1,0025,00003597,,11790,4480,3,uint8,0.1,-0.1,25832,462516.0,6258423.0,462516.0,6257975.0,463695.0,6258423.0,528192.0
O2021_82_11_1_0025_00003598.tif,2021,82,82-11,1,0025,00003598,,11770,4440,3,uint8,0.1,-0.1,25832,462518.0,6258768.0,462518.0,6258324.0,463695.0,6258768.0,522588.0
O2021_82_11_1_0025_00003599.tif,2021,82,82-11,1,0025,00003599,,11780,4460,3,uint8,0.1,-0.1,25832,462517.0,6259114.0,462517.0,6258668.0,463695.0,6259114.0,525388.0
O2021_82_11_1_0026_00002614.tif,2021,82,82-11,1,0026,00002614,,11810,4430,3,uint8,0.1,-0.1,25832,463310.0,6259109.0,463310.0,6258666.0,464491.0,6259109.0,523183.0
O2021_82_11_1_0026_00002615.tif,2021,82,82-11,1,0026,00002615,,11830,4470,3,uint8,0.1,-0.1,25832,463314.0,6258769.0,463314.0,6258322.0,464497.0,6258769.0,528801.0
O2021_82_11_1_0026_00002616.tif,2021,82,82-11,1,0026,00002616,,11820,4440,3,uint8,0.1,-0.1,25832,463317.0,6258420.0,463317.0,6257976.0,464499.0,6258420.0,524808.0
O2021_82_11_1_0026_00002617.tif,2021,82,82-11,1,0026,00002617,,11810,4420,3,uint8,0.1,-0.1,25832,463320.0,6258075.0,463320.0,6257633.0,464501.0,6258075.0,522002.0
O2021_82_11_1_0026_00002618.tif,2021,82,82-11,1,0026,00002618,,11820,4450,3,uint8,0.1,-0.1,25832,463319.0,6257730.0,463319.0,6257285.0,464501.0,6257730.0,525990.0
O2021_82_11_1_0026_00002619.tif,2021,82,82-11,1,0026,00002619,,11860,4510,3,uint8,0.1,-0.1,25832,463315.0,6257388.0,463315.0,6256937.0,464501.0,6257388.0,534886.0
O2021_82_11_1_0026_00002620.tif,2021,82,82-11,1,0026,00002620,,11850,4480,3,uint8,0.1,-0.1,25832,463315.0,6257041.0,463315.0,6256593.0,464500.0,6257041.0,530880.0
O2021_82_11_1_0027_00002535.tif,2021,82,82-11,1,0027,00002535,,11940,7400,3,uint8,0.1,-0.1,25832,464088.0,6257530.0,464088.0,6256790.0,465282.0,6257530.0,883560.0
O2021_82_11_1_0027_00002537.tif,2021,82,82-11,1,0027,00002537,,11830,7560,3,uint8,0.1,-0.1,25832,464096.0,6258230.0,464096.0,6257474.0,465279.0,6258230.0,894348.0
O2021_82_11_1_0027_00002539.tif,2021,82,82-11,1,0027,00002539,,11820,7580,3,uint8,0.1,-0.1,25832,464096.0,6258921.0,464096.0,6258163.0,465278.0,6258921.0,895956.0
O2021_82_13_1_0024_00141735.tif,2021,82,82-13,1,0024,00141735,,9150,6850,3,uint8,0.1,-0.1,25832,504910.0,6237701.0,504910.0,6237016.0,505825.0,6237701.0,626775.0
O2021_82_13_1_0024_00141742.tif,2021,82,82-13,1,0024,00141742,,9150,6840,3,uint8,0.1,-0.1,25832,504919.0,6238316.0,504919.0,6237632.0,505834.0,6238316.0,625860.0
O2021_82_13_1_0024_00141749.tif,2021,82,82-13,1,0024,00141749,,9150,6840,3,uint8,0.1,-0.1,25832,504930.0,6238933.0,504930.0,6238249.0,505845.0,6238933.0,625860.0
O2021_82_13_1_0024_00141752.tif,2021,82,82-13,1,0024,00141752,,9140,3990,3,uint8,0.1,-0.1,25832,504935.0,6239099.0,504935.0,6238700.0,505849.0,6239099.0,364686.0
O2021_82_13_1_0024_00141755.tif,2021,82,82-13,1,0024,00141755,,9140,3990,3,uint8,0.1,-0.1,25832,504937.0,6239407.0,504937.0,6239008.0,505851.0,6239407.0,364686.0
O2021_82_13_1_0024_00141759.tif,2021,82,82-13,1,0024,00141759,,9150,4000,3,uint8,0.1,-0.1,25832,504936.0,6239716.0,504936.0,6239316.0,505851.0,6239716.0,366000.0
